"Meses 2019","Arribo de visitantes ","Pernoctaciones de visitantes"
"Enero ","20591","31143"
"Febrero","19484","28297"
"Marzo","20080","30014"
"Abril","23526","34068"
"Mayo","21535","32592"
"Junio","21770","32956"
"Julio","33271","56184"
"Agosto","30818","50355"
"Setiembre","22835","36161"
"Octubre","24127","37769"
"Noviembre","19933","32158"
"Diciembre","19627","29943"
"Meses 2020","",""
"Enero ","20563","31414"
"Febrero","23896","36394"
"Marzo","7009","9552"
"Abril","212","259"
"Mayo","1198","36227"
"Junio","1668","6227"
"Julio","8624","12773"
"Agosto","8286","13063"
"Setiembre","12164","17971"
"Octubre","12559","19146"
"Noviembre","11639","19457"
"Diciembre","1578","22167"
"Meses 2021","",""
"Enero ","13382","18664"
"Febrero","7458","11298"
"Marzo","12174","17592"
"Abril","12341","17718"
"Mayo","15046","20373"
"Junio","18156","23441"
"Julio","30276","41636"
"Agosto","29491","40756"
"Setiembre","21424","29401"
"Octubre","31099","42413"
"Noviembre","21006","26925"
"Diciembre","16758","21938"
"Meses 2022","",""
"Enero ","27818","33947"
"Febrero","31160","37497"
"Marzo","28417","33525"
"Abril","21794","30231"
"Mayo","26603","37248"
"","",""
